MCES	Nonconformity	Ion Type
10.27	14.68012084960938	[M-H]-
10.01	-8.268908691406239	[M+Na]+
10.195	-0.4819091796875057	[M-H]-
10.11	-1.7557739257812557	[M+H]+
9.8	7.017361450195324	[M+H]+
9.055	1.9091766357421989	[M+H]+
9.805	1.5818969726562386	[M+H]+
9.805	-2.1990234374999886	[M-H]-
11.81	-1.6549697875976506	[M+H]+
12.1	-4.775567626953119	[M-H]-
9.55	25.73393554687499	[M+H]+
10.45	2.1382385253906193	[M+Na]+
10.45	1.5166534423828182	[M+H]+
10.97	8.269783020019531	[M+H]+
9.695	-6.273641967773443	[M-H]-
9.78	-2.0296783447265625	[M-H]-
12.95	116.48177032470704	[M+H]+
11.4	-6.886993408203125	[M+Na]+
10.85	-4.289739990234381	[M+Na]+
10.74	-0.6426025390624943	[M+Na]+
10.74	1.456268310546875	[M+H]+
10.74	5.270654296874994	[M-H]-
10.23	0.3492034912109432	[M-H]-
10.45	7.3177490234375	[M-H]-
10.45	-2.1891601562500114	[M+H]+
10.49	6.5272216796875	[M-H]-
10.31	-6.224537658691403	[M+H]+
9.55	-4.910504150390636	[M+H]+
10.24	-3.9466979980468864	[M+H]+
10.24	-0.19439086914061932	[M+Na]+
10.24	-3.0183837890625114	[M-H]-
9.22	1.5087829589843693	[M-H]-
8.45	-3.6604858398437443	[M+H]+
9.85	-4.651507568359364	[M+Na]+
10.88	-1.8649169921874886	[M+H]+
10.88	8.02160034179687	[M-H]-
9.61	-4.769268798828136	[M-H]-
10.805	-3.148916625976568	[M+Na]+
10.61	-2.302398681640625	[M+H]+
8.67	-4.512927246093739	[M+H]+
8.58	2.2649963378906364	[M-H]-
10.52	-8.763256835937497	[M+H]+
9.37	-1.9696746826171818	[M+H]+
10.86	-14.462133789062506	[M+Na]+
10.86	-37.04877319335938	[M-H]-
9.94	-11.42449340820312	[M+Na]+
9.94	8.414193725585932	[M+H]+
10.87	-7.957421874999994	[M+H]+
10.87	-3.516409301757818	[M+Na]+
10.836	-21.61784667968749	[M+Na]+
9.24	-1.2864868164062386	[M-H]-
10.38	-6.050067138671864	[M-H]-
10.0	-0.9296020507812557	[M+Na]+
10.28	-5.406271362304693	[M-H]-
10.164	4.549786376953136	[M-H]-
11.26	-2.239614868164068	[M+H]+
11.26	-0.9705688476562386	[M+Na]+
9.13	-5.12109375	[M+Na]+
10.52	-14.356237792968756	[M+Na]+
11.86	-0.06466064453124432	[M+Na]+
8.05	-4.043707275390631	[M-H]-
9.08	-0.9684234619140568	[M-H]-
9.95	-2.8076446533203097	[M+H]+
10.664	-4.29754638671875	[M+Na]+
10.48	-12.141345214843739	[M+H]+
10.48	-5.564117431640625	[M+Na]+
10.48	-0.7147674560546875	[M-H]-
8.52	4.051644897460932	[M+Na]+
9.914	-1.2641998291015568	[M+H]+
10.45	0.7319854736328182	[M-H]-
10.48	3.176583862304682	[M-H]-
11.195	-8.192980957031239	[M-H]-
8.17	0.9873901367187443	[M-H]-
9.86	329.2	[M-H]-
9.78	-19.31505737304687	[M-H]-
10.8	-6.835290527343744	[M-H]-
9.74	0.08426513671875568	[M-H]-
11.305	1.2120590209960938	[M+H]+
10.31	47.49024658203126	[M+Na]+
10.31	63.38533630371094	[M+H]+
10.836	9.56951293945312	[M+Na]+
10.836	0.4871826171875	[M+H]+
9.55	2.6930557250976506	[M-H]-
8.37	2.1194580078125114	[M-H]-
10.695	-3.8686340332031364	[M+H]+
10.695	-6.54852294921875	[M-H]-
9.86	-1.3708007812500114	[M+Na]+
10.805	-3.9292785644531136	[M-H]-
10.8	-6.056970214843744	[M-H]-
9.195	-1.3840820312499886	[M-H]-
10.55	-1.8576477050781364	[M-H]-
10.8	-7.283505249023449	[M-H]-
10.76	-13.343292236328125	[M-H]-
