MCES	Nonconformity	Ion Type
9.98	-3.495742188	[M-H]-
10.19	6.728516235	[M+Na]+
10	0.085696411	[M-H]-
10.49	-4.92057373	[M+H]+
10.055	3.002653809	[M+H]+
10.13	2.514968262	[M-H]-
9.78	-2.717006226	[M-H]-
6.414	-4.809429932	[M+H]+
7.99	2.138079834	[M+Na]+
10	0.689959106	[M-H]-
10.4	3.645454102	[M+H]+
10.47	2.354904785	[M+Na]+
9.48	-2.807984619	[M+Na]+
10	0.091219482	[M-H]-
9.76	-0.815795898	[M+Na]+
10	1.974978638	[M+Na]+
7.977	1.569729004	[M+H]+
9.664	5.962590332	[M+H]+
10.08	6.887858887	[M+H]+
10	0.650283203	[M+Na]+
9.76	-3.019821777	[M+Na]+
10.19	-4.913953857	[M+H]+
7.805	2.564660034	[M+Na]+
7.066	-5.223562012	[M+H]+
9.88	6.206125488	[M-H]-
7.914	3.185997314	[M+H]+
9.94	3.14800293	[M-H]-
9.77	-0.726283569	[M-H]-
10	-9.37701416	[M+Na]+
9.98	1.167830811	[M+H]+
10.11	2.66829834	[M-H]-
8.78	1.757463379	[M+H]+
9.805	-1.255881348	[M-H]-
10	1.695999146	[M-H]-
8.02	0.405547485	[M-H]-
8.44	0.506973877	[M+H]+
9.8	-1.787603149	[M-H]-
10.38	-4.937132568	[M+H]+
9.92	-3.589456177	[M+H]+
9.5	-1.183061523	[M+Na]+
9.47	-2.86753418	[M+Na]+
10.23	-2.825011597	[M+H]+
9.92	5.179767456	[M+Na]+
9.65	1.117994385	[M+H]+
9.14	4.110132446	[M+Na]+
9.9	-0.260204468	[M+H]+
9.85	3.631226196	[M+Na]+
10	4.748959961	[M-H]-
10.38	-1.148962402	[M+H]+
10	-6.37427063	[M+Na]+
9.95	-3.774838867	[M+Na]+
8.24	1.7494104	[M+H]+
10.27	-0.832839355	[M+Na]+
10.195	2.921947021	[M+Na]+
10.12	0.300656738	[M+Na]+
8.85	-1.497126465	[M+H]+
9.914	0.460314941	[M-H]-
9.94	-0.181845703	[M+H]+
9.89	2.368146973	[M+H]+
9.76	-6.067662964	[M+Na]+
7.26	-4.002583008	[M+Na]+
9.95	8.835308838	[M+H]+
9.52	-0.584089355	[M+Na]+
9.055	-1.279986572	[M-H]-
9.97	4.810273438	[M+H]+
10.42	2.286702881	[M+H]+
10.24	-10.24384399	[M-H]-
8.89	-1.975908813	[M-H]-
9.56	-0.518056641	[M+H]+
9.95	-1.14086792	[M+Na]+
9.945	1.692954102	[M-H]-
9.74	0.027908936	[M+H]+
10.1	10.22893433	[M-H]-
9.98	0.704382324	[M+H]+
8.52	0.831368408	[M+Na]+
9.74	7.343720093	[M+Na]+
10.086	-7.009521484	[M+Na]+
9.89	0.578931885	[M+Na]+
10	6.283419189	[M-H]-
9.5	-0.287416992	[M-H]-
10	1.006518555	[M+Na]+
9.98	-2.647557373	[M+Na]+
10.305	-0.647524414	[M-H]-
6.543	3.919020996	[M+Na]+
8.805	0.434255371	[M+Na]+
7.805	-0.423693848	[M+H]+
10.4	6.077372437	[M+H]+
9.95	5.807555542	[M-H]-
10	-7.73501709	[M+H]+
8.81	-1.273389893	[M+H]+
10.27	-8.514718628	[M+Na]+
7.523	2.072891846	[M+Na]+
9.64	10.31868164	[M-H]-
9.83	0.735483398	[M+Na]+
6.477	-1.170969238	[M+Na]+
9.695	3.18133667	[M+H]+
9.83	-0.302473145	[M+H]+
9.83	-9.141877441	[M+H]+
9.87	-5.748916016	[M+H]+
9.87	8.277143555	[M-H]-
9.305	1.022603149	[M+Na]+
9.74	-3.263189697	[M+H]+
8.39	5.253616333	[M+Na]+
9.055	0.106340942	[M+Na]+
9.305	-6.14821228	[M+Na]+
7.01	0.45682251	[M-H]-
7.86	-0.439778442	[M+Na]+
9.77	14.64085693	[M+Na]+
10.5	-4.883620605	[M+H]+
9.98	-10.14616577	[M-H]-
9.664	4.679899292	[M-H]-
10.45	2.673588867	[M+Na]+
10.14	-7.193817139	[M-H]-
9.06	-0.845214844	[M+H]+
9.78	0.038250732	[M+Na]+
8.38	0.34510376	[M+H]+
9.98	1.077887573	[M+H]+
9.78	3.169667358	[M-H]-
9.56	-7.421264038	[M-H]-
10.305	-0.602965088	[M+H]+
9.305	-6.511265259	[M-H]-
10	-6.928833618	[M+Na]+
7.816	0.578480225	[M-H]-
10	-2.708795166	[M+Na]+
9.78	1.100449829	[M+H]+
9.805	0.968979492	[M-H]-
8.94	3.346478882	[M+H]+
9.98	-4.360083008	[M+H]+
10	-1.443254395	[M+H]+
9.87	0.424009399	[M-H]-
9.63	-6.251087646	[M+H]+
9.055	0.828236084	[M+Na]+
10.49	-10.16492188	[M+H]+
9.99	2.199031372	[M-H]-
9.97	-2.270999756	[M+H]+
10.27	1.478382568	[M+H]+
8.8	4.440064697	[M+Na]+
7.61	-3.514255371	[M+H]+
9.8	0.434192505	[M+H]+
10.17	1.330244141	[M+H]+
9.99	0.685993652	[M-H]-
9.99	5.235925293	[M-H]-
9.67	1.506412964	[M+H]+
9.695	1.025775146	[M+Na]+
8.02	-1.199713135	[M-H]-
10.055	-2.581489258	[M-H]-
10	7.798723755	[M+H]+
9.89	-4.545952148	[M-H]-
7.63	0.25526123	[M+Na]+
6.72	0.042972412	[M-H]-
7.5	-1.287492065	[M+H]+
10.12	-8.722159424	[M+H]+
9.98	1.392371826	[M+H]+
9.62	-2.269336548	[M+H]+
9.13	1.732018433	[M-H]-
10.445	3.363076172	[M-H]-
9.86	1.917888184	[M+Na]+
8.25	0.174880371	[M+H]+
7.89	-2.099754639	[M+H]+
9.99	3.983258057	[M+H]+
9.49	2.173303223	[M+H]+
9.98	2.580641479	[M-H]-
10.336	12.76350708	[M+Na]+
9.62	-1.016994629	[M-H]-
9.94	-2.663460083	[M+H]+
8.49	3.398404541	[M+H]+
10.336	-4.977247314	[M+Na]+
10.14	3.695637817	[M-H]-
10.17	2.68524292	[M+H]+
9.664	-0.745494385	[M+H]+
8.164	0.016809082	[M+H]+
10.49	-3.700678711	[M+Na]+
10.14	0.238425293	[M-H]-
9.85	2.098427124	[M-H]-
8.45	-2.708143311	[M-H]-
8.61	1.300944824	[M+Na]+
9.99	-0.388427124	[M-H]-
9.56	1.424782715	[M+Na]+
9.1	-4.465695801	[M+Na]+
9.98	-18.76869019	[M-H]-
9.89	-3.204929199	[M-H]-
9.87	2.81720459	[M-H]-
9.67	-2.1290979	[M+H]+
5.74	2.119290771	[M-H]-
10	9.620569458	[M-H]-
10.055	7.639893799	[M+Na]+
9.914	-9.352896118	[M-H]-
10.5	1.776174316	[M+Na]+
9.78	3.073561401	[M+H]+
9.414	3.260073853	[M+Na]+
9.95	-0.133887939	[M+H]+
10.15	10.88562744	[M+Na]+
7.28	0.617608643	[M+H]+
9.89	4.626640625	[M+H]+
10.06	-15.12802368	[M-H]-
10.12	12.1682782	[M-H]-
8.02	2.823482666	[M+Na]+
9.945	-1.904534302	[M+Na]+
8.28	-0.422110596	[M-H]-
10.35	5.227628174	[M+H]+
9.56	2.257561035	[M+Na]+
8.95	0.805977173	[M-H]-
8.56	2.176891479	[M+H]+
10.48	4.256638794	[M+Na]+
9.97	7.29201416	[M-H]-
10.26	-0.909039307	[M-H]-
9.85	-3.142728882	[M+Na]+
9.87	-8.152744751	[M+Na]+
9.67	-4.117387695	[M+Na]+
9.695	0.18631958	[M+H]+
9.98	-12.52857971	[M+Na]+
8.36	-11.4121521	[M+Na]+
7.305	-3.533168335	[M+H]+
9.94	-4.232659912	[M+Na]+
9.99	1.164570312	[M-H]-
9.62	-0.942208252	[M+H]+
8.87	1.409975586	[M+H]+
10.05	-5.831106567	[M+H]+
8.086	1.377269287	[M-H]-
8.06	-0.93923584	[M+H]+
6.566	-1.815293579	[M+H]+
9.2	-0.538638916	[M+Na]+
9.695	-9.223415527	[M-H]-
9.72	4.477489014	[M+Na]+
10	-3.536040039	[M+H]+
10.17	-3.548000488	[M+H]+
10.31	1.915949707	[M-H]-
10.48	3.795999756	[M-H]-
9.92	0.617896729	[M+H]+
10.195	1.565621338	[M+H]+
8.27	0.471271973	[M-H]-
9.8	-3.292890015	[M+Na]+
10.35	0.704614868	[M+H]+
10.33	-0.373463135	[M+H]+
10.28	-1.298852539	[M-H]-
9.98	1.393349609	[M+H]+
9.98	-6.710853271	[M+H]+
10.4	-0.112167358	[M+H]+
9.63	-8.333064575	[M+Na]+
9.98	1.694200439	[M+Na]+
9.98	7.312446899	[M+Na]+
9.4	0.186334229	[M+H]+
9.414	-4.680980225	[M+H]+
9.95	1.436512451	[M+H]+
9.914	0.801590576	[M-H]-
7.543	-0.738972778	[M+H]+
10.195	1.016797485	[M+H]+
9.78	-0.225843506	[M-H]-
9.98	1.186638794	[M+H]+
7.926	-1.414598389	[M-H]-
9.85	3.926903076	[M+H]+
10.14	-2.427965088	[M-H]-
9.85	-2.203557129	[M+H]+
9.7	-1.084787598	[M-H]-
8.055	-1.340986328	[M-H]-
9.38	1.291210327	[M+H]+
9.77	-2.951124268	[M+H]+
10.42	-10.04832031	[M-H]-
10.12	6.662605591	[M+Na]+
10	-1.079395752	[M+H]+
10.24	2.466032715	[M-H]-
9.92	-2.099836426	[M+Na]+
9.74	6.728635254	[M+H]+
9.72	4.279419556	[M-H]-
9.836	0.027832031	[M+Na]+
6.74	-3.759769287	[M+Na]+
8.805	-0.587369385	[M+Na]+
10.414	1.130618286	[M+Na]+
8.37	-0.090648193	[M+Na]+
7.676	4.72522522	[M-H]-
9.195	-1.990802002	[M-H]-
10	6.784482422	[M+H]+
10.33	9.546472168	[M+H]+
9.98	-4.263565674	[M-H]-
9.95	2.221568604	[M+Na]+
10.414	-1.663589478	[M+H]+
10.08	-1.6021875	[M+Na]+
7.86	-6.214887695	[M+H]+
10.3	-3.218968506	[M+H]+
10.15	-2.815509033	[M+H]+
10.17	2.662894287	[M+Na]+
10.15	-0.350020752	[M+Na]+
10	3.66430542	[M-H]-
10.445	-0.466590576	[M+Na]+
9.35	0.695634766	[M+H]+
7.914	0.977354736	[M+H]+
9.914	2.814424438	[M-H]-
9	-4.832683105	[M+Na]+
9.97	2.812918701	[M+H]+
9.945	-7.045977783	[M+H]+
8.61	2.761561279	[M+Na]+
9.78	-2.461526489	[M+H]+
7.89	0.700837402	[M+Na]+
9.33	-1.07588623	[M+H]+
9.63	-0.411306763	[M+H]+
9.94	0.553325195	[M-H]-
8.33	-3.208596802	[M+H]+
9.61	-5.833587646	[M+Na]+
9.67	5.47439209	[M+Na]+
10.195	-3.029743652	[M-H]-
10.195	3.345119629	[M-H]-
9.83	-1.052200928	[M-H]-
9.75	-1.07805542	[M+Na]+
9.94	-5.325250854	[M+Na]+
9.95	5.314638672	[M+Na]+
10.23	-5.974053955	[M+Na]+
9.78	-0.129224854	[M+H]+
9.95	-5.414516602	[M+H]+
